Name,Distance_x,Latitude_x,Longitude_x,Distance_y,Latitude_y,Longitude_y
Faaca Boteco e Parrilla,397,-8.032848,-34.907056,397,-8.032848,-34.907056
FriSabor Madalena,613,-8.052216,-34.911827,613,-8.052216,-34.911827
Greenmix Zona Sul Restaurante,623,-8.099547,-34.886287,623,-8.099547,-34.886287
Lala Cafe & Cozinha Afetiva,306,-8.043648,-34.893257,306,-8.043648,-34.893257
Livraria Jaqueira,970,-8.037305,-34.902747,970,-8.037305,-34.902747
Loja Espaço Sport,492,-8.107707,-34.890413,492,-8.107707,-34.890413
Mak Burguer,529,-8.045932,-34.918789,529,-8.045932,-34.918789
Maura Lima,324,-7.999442,-34.839914,324,-7.999442,-34.839914
Mingus,839,-8.097882,-34.8847,839,-8.097882,-34.8847
Mitchell,976,-8.059092,-34.886874,976,-8.059092,-34.886874
Mr. Black Cafe Gourmet,916,-7.994215,-34.840521,916,-7.994215,-34.840521
Museu Cais do Sertão,430,-8.060025,-34.86996,430,-8.060025,-34.86996
Museu Murillo La Greca,968,-8.037152,-34.909877,968,-8.037152,-34.909877
Oma Pâtisserie Bistrô,828,-8.034054,-34.912206,828,-8.034054,-34.912206
Papaya Verde,448,-8.045248,-34.89303,448,-8.045248,-34.89303
Parque Santana,765,-8.040998,-34.916865,765,-8.040998,-34.916865
Paula Cabeleireiros,489,-8.047928,-34.909616,489,-8.047928,-34.909616
Paço do Frevo,202,-8.061447,-34.871606,202,-8.061447,-34.871606
Peixaria Frutos do Mar,2951,-8.05441,-34.881451,2951,-8.05441,-34.881451
Polo Recife Multicultural,918,-8.054429,-34.87021,918,-8.054429,-34.87021
Praça do Arsenal da Marinha,928,-8.060752,-34.871599,928,-8.060752,-34.871599
Quitandaria,764,-8.035489,-34.888405,764,-8.035489,-34.888405
RM Express,972,-8.053319,-34.908035,972,-8.053319,-34.908035
Recanto Paraibano,853,-8.03475,-34.91197,853,-8.03475,-34.91197
Recife Bike,943,-8.067098,-34.880059,943,-8.067098,-34.880059
Restaurante Camarada Camarão - Shopping Recife,8051,-8.049196,-34.881644,8051,-8.049196,-34.881644
Restaurante Manga Rosa,859,-8.066384,-34.879718,859,-8.066384,-34.879718
Restaurante Tempero da Mamae,688,-8.054518,-34.878974,688,-8.054518,-34.878974
Rio Mar Shopping,2552,-8.057353,-34.887583,2552,-8.057353,-34.887583
Segundo Jardim de Boa Viagem,55,-8.10462,-34.887011,55,-8.10462,-34.887011
Simone Barros Doceria & Cafeteria II,767,-8.00881,-34.84247,767,-8.00881,-34.84247
Sobrancelhas Design Graças,911,-8.047497,-34.898309,911,-8.047497,-34.898309
Spettus Steak House,286,-8.103678,-34.889167,286,-8.103678,-34.889167
Subway,1707,-8.002587,-34.842956,1707,-8.002587,-34.842956
São Braz - Suassuna,518,-8.054302,-34.883324,518,-8.054302,-34.883324
Ta San Yuen,403,-8.041178,-34.894503,403,-8.041178,-34.894503
Teatro Marco Camarotti,124,-8.049542,-34.882614,124,-8.049542,-34.882614
Teatro de Santa Isabel,667,-8.06081,-34.878248,667,-8.06081,-34.878248
Villa Sandino,671,-8.04872,-34.894997,671,-8.04872,-34.894997
