Name,Distance,Latitude_x,Longitude_x,Latitude_y,Longitude_y,Rating,Review Count
Museu Cais do Sertão,430.0,-8.060025,-34.86996,,,,
Museu Murillo La Greca,968.0,-8.037152,-34.909877,,,,
Oma Pâtisserie Bistrô,828.0,-8.034054,-34.912206,,,,
Papaya Verde,448.0,-8.045248,-34.89303,-8.0454302,-34.8928795,4.5,4.0
Parque Santana,765.0,-8.040998,-34.916865,-8.0061598,-34.9272308,5.0,4.0
Paula Cabeleireiros,489.0,-8.047928,-34.909616,,,,
Paço do Frevo,202.0,-8.061447,-34.871606,-8.06154,-34.87092,4.5,7.0
Peixaria Frutos do Mar,2951.0,-8.05441,-34.881451,,,,
Polo Recife Multicultural,918.0,-8.054429,-34.87021,,,,
Praça do Arsenal da Marinha,928.0,-8.060752,-34.871599,,,,
Quitandaria,764.0,-8.035489,-34.888405,,,,
RM Express,972.0,-8.053319,-34.908035,,,,
Recanto Paraibano,853.0,-8.03475,-34.91197,-8.03479180944101,-34.9119366114309,4.0,7.0
Recife Bike,943.0,-8.067098,-34.880059,,,,
Restaurante Camarada Camarão - Shopping Recife,8051.0,-8.049196,-34.881644,,,,
Restaurante Manga Rosa,859.0,-8.066384,-34.879718,,,,
Restaurante Tempero da Mamae,688.0,-8.054518,-34.878974,,,,
Rio Mar Shopping,2552.0,-8.057353,-34.887583,,,,
Segundo Jardim de Boa Viagem,55.0,-8.10462,-34.887011,,,,
Simone Barros Doceria & Cafeteria II,767.0,-8.00881,-34.84247,,,,
Sobrancelhas Design Graças,911.0,-8.047497,-34.898309,,,,
Spettus Steak House,286.0,-8.103678,-34.889167,-8.103658,-34.889275,4.5,17.0
Subway,1707.0,-8.002587,-34.842956,,,,
São Braz - Suassuna,518.0,-8.054302,-34.883324,,,,
Ta San Yuen,403.0,-8.041178,-34.894503,,,,
Teatro Marco Camarotti,124.0,-8.049542,-34.882614,,,,
Teatro de Santa Isabel,667.0,-8.06081,-34.878248,,,,
Villa Sandino,671.0,-8.04872,-34.894997,,,,
Alphaiate,,,,-8.104383,-34.887301,4.5,4.0
Apolo Beer Café,,,,-8.0612497,-34.872139,5.0,4.0
As Galerias,,,,-8.0612999,-34.87173,4.5,5.0
Bar Burburinho,,,,-8.0640259,-34.8724022,4.5,6.0
Bar Central,,,,-8.05779312123268,-34.880135199701,4.0,17.0
Bar Teatro Mamulengo,,,,-8.0610504,-34.8716393,4.0,5.0
Bar do Agenor,,,,-8.0482397,-34.9145012,3.5,3.0
Bar do Ao Seu Dispor,,,,-8.04184,-34.90811,3.5,7.0
Bar do Neno e Lula,,,,-8.0328199,-34.90963,4.5,5.0
