,Name,Latitude,Longitude,Rating,Review Count
101,Itapissuma,-8.0542775,-34.8812561,5.0,2
102,Frontal Ponto de Encontro,-8.0578604,-34.8801994,3.5,5
103,Feirinha do Bom Jesus,-8.0621405,-34.8713989,4.5,5
104,Empório Sertanejo,-8.0423002,-34.8914108,4.5,12
105,O Rei das Coxinhas,-8.0443096,-34.894249,4.5,11
106,China 48,-8.0403204,-34.8926697,4.5,5
107,Dalena,-8.0476161,-34.897091,4.5,9
108,Chiwake,-8.0479241,-34.8954469,5.0,5
109,ZEN,-8.04413390541109,-34.8928966601909,3.5,13
110,Via Paladar,-8.04317,-34.893261,5.0,3
111,Winner Sports Bar,-8.0473804,-34.8937912,4.5,5
112,Com.Pão,-8.0415697,-34.8981781,5.0,4
113,Papaya Verde,-8.0454302,-34.8928795,4.5,4
114,Panificadora e Confeitaria Espinheiro,-8.0422497,-34.8923988,4.5,3
115,Restaurante Amarelo Manga,-8.0437498,-34.8926811,4.5,3
116,Pão de Açúcar,-8.0460616,-34.8972255,4.5,6
117,Bodega do Futuro,-8.0427656,-34.8987312,4.0,7
118,Confraria,-8.034333,-34.890739,4.5,6
119,Buca Trattoria,-8.0451803,-34.8933601,4.5,3
120,Cachaçaria Tradição,-8.0449434,-34.8997402,4.5,5
121,DaHora Restaurante e Pizzaria,-8.0451899,-34.8937683,4.5,3
122,Terracio Restaurante,-8.0439501,-34.8928909,5.0,2
123,Tay San Yuen,-8.04145816406097,-34.8938260227442,4.5,3
124,Parraxaxá,-8.038119,-34.911863,4.5,14
125,Ponto do Açaí,-8.0370197,-34.9015884,4.5,7
126,Bar do Neno e Lula,-8.0328199,-34.90963,4.5,5
127,Parque da Jaqueira,-8.0373402,-34.9030304,5.0,4
128,Recanto Paraibano,-8.03479180944101,-34.9119366114309,4.0,7
129,Canela Gastrobar,-8.0345201,-34.8987999,4.5,5
130,Portal da Picanha,-8.03527,-34.899235,4.0,9
131,Mutti Capriccio,-8.03706,-34.91138,4.0,7
132,Famiglia Lucco Pizzas,-8.0320997,-34.913681,4.0,6
133,Texanno's,-8.035727,-34.908796,4.0,6
134,Pizzaria Candelabro,-8.0279684,-34.9118652,4.5,4
135,Pan Jovem Jaqueira,-8.0355101,-34.9022598,4.5,3
136,Le Olive Pizzeria,-8.0349102,-34.9014511,4.5,3
137,Guaiamum Gigante,-8.0362701,-34.9102783,3.5,7
138,Kwai Burger,-8.03809,-34.90225,4.5,4
139,Sítio Trindade,-8.02981610254743,-34.9123603915405,4.5,3
140,O Rei da Picanha,-8.0244981,-34.9104218,3.5,5
141,Sabor do Doce,-8.0267601,-34.9048615,4.0,3
142,Yantai Express,-8.0325499,-34.9041481,3.0,6
143,Oma Pâtisserie e Bistrô,-8.0279455,-34.8995438,4.5,3
144,La Pecora Nera,-8.0493145,-34.9118423,5.0,5
145,Vaporetto Container Bar,-8.04002102272508,-34.9127634242177,4.5,9
146,Itiban,-8.05032177998383,-34.9074477873834,4.0,11
147,Vovó Nice,-8.04529,-34.9072304,5.0,4
148,Parque Santana,-8.0061598,-34.9272308,5.0,4
149,Dobradinha do Gordo,-8.045796,-34.907201,4.5,5
150,Torre Massas,-8.0437202,-34.9105186,5.0,3
151,Panificadora Nova Armada,-8.04610186521047,-34.9070861935616,4.0,6
152,Delicia da Prazeres,-8.05186,-34.91823,4.5,3
153,Bar do Ao Seu Dispor,-8.04184,-34.90811,3.5,7
154,Recife Cocos,-8.0084925,-34.9365158,5.0,3
155,Di Branco Recepções,-8.0474701,-34.9085503,4.5,3
156,Speciale Pizzas Artesanais,-8.04589,-34.90691,3.5,6
157,Carlitos Burguer,-8.04387,-34.9092,3.5,7
158,Bar do Agenor,-8.0482397,-34.9145012,3.5,3
159,Irajá,-8.04653,-34.91092,4.0,3
160,Pizzaria La Cuca,-8.0436697,-34.9093018,4.5,3
161,Santa Pizza,-8.0421658,-34.9084854,4.0,4
162,Nova Torre,-8.0422916,-34.9098015,5.0,2
163,Confraria do Sanduba,-8.04762,-34.90904,3.5,5
164,Empório Sertanejo,-8.0423002,-34.8914108,4.5,12
165,O Rei das Coxinhas,-8.0443096,-34.894249,4.5,11
166,Dalena,-8.0476161,-34.897091,4.5,9
167,Chiwake,-8.0479241,-34.8954469,5.0,5
168,ZEN,-8.04413390541109,-34.8928966601909,3.5,13
169,Winner Sports Bar,-8.0473804,-34.8937912,4.5,5
170,China 48,-8.0403204,-34.8926697,4.5,5
171,Papaya Verde,-8.0454302,-34.8928795,4.5,4
172,Via Paladar,-8.04317,-34.893261,5.0,3
173,Com.Pão,-8.0415697,-34.8981781,5.0,4
174,Restaurante Amarelo Manga,-8.0437498,-34.8926811,4.5,3
175,Pão de Açúcar,-8.0460616,-34.8972255,4.5,6
176,Buca Trattoria,-8.0451803,-34.8933601,4.5,3
177,Panificadora e Confeitaria Espinheiro,-8.0422497,-34.8923988,4.5,3
178,Bodega do Futuro,-8.0427656,-34.8987312,4.0,7
179,DaHora Restaurante e Pizzaria,-8.0451899,-34.8937683,4.5,3
180,Famiglia Lucco,-8.0474396,-34.8949585,4.5,4
181,Ponte Nova,-8.0465311,-34.8981218,5.0,4
182,Terracio Restaurante,-8.0439501,-34.8928909,5.0,2
183,Na Venda - Chocolates e Cafés,-8.0451899,-34.8985901,5.0,3
184,Bar e Restaurante Marisqueira,-8.0073512,-34.840877,5.0,1
185,Sugoi,-7.9998088,-34.8392563,4.0,1
186,Capitania Forneria & Mar,-7.9952755,-34.838913,5.0,1
187,Sob Medida,-7.99626491926441,-34.8418368672758,1.0,1
188,Spettus Steak House,-8.103658,-34.889275,4.5,17
189,Nikko Japanese Fusion,-8.105029,-34.888829,4.5,7
190,Camarada Camarão,-8.100946254656,-34.8864100361763,4.5,8
191,Entre Amigos Praia,-8.09816842304372,-34.8840141766686,4.0,10
192,Alphaiate,-8.104383,-34.887301,4.5,4
193,Ganache Tortas Finas,-8.1124802,-34.8935699,5.0,3
194,Tomaselli,-8.1029196,-34.8864594,4.5,3
195,Benvinda,-8.10566,-34.889524,4.5,3
196,Mingus,-8.0977966,-34.8847806,5.0,3
197,Casa dos Frios,-8.1062803,-34.8901596,4.5,3
198,Empadas Santa Massa,-8.103817,-34.8866997,4.5,3
199,Wiella Bistrô,-8.1007299,-34.8876114,4.5,3
200,Underground,-8.0970402,-34.8834915,4.0,6
201,Diplomata Delicatessen,-8.1086502,-34.8903008,4.0,4
202,Ça Va Bistrô,-8.0955496,-34.8840408,4.5,4
203,Cakes Doceria,-8.1055498,-34.8895416,4.5,2
204,Italian Freddo,-8.1008997,-34.8865814,4.5,2
205,Chez Wiet Patisserie,-8.1007299,-34.8876114,4.5,2
206,Club du Vin,-8.1055403,-34.8886108,4.0,2
207,Club Bardot,-8.1101398,-34.892849,5.0,2
208,Bar Central,-8.05779312123268,-34.880135199701,4.0,17
209,Parque 13 de Maio,-8.0569096,-34.8833885,4.5,8
210,Empório Sertanejo,-8.0423002,-34.8914108,4.5,12
211,Galeria Café Castro Alves,-8.0533199,-34.8791199,4.5,5
212,Club Miró,-8.0539904,-34.8879318,4.5,5
213,Restaurante Puxinanã,-8.0576601,-34.8803291,4.5,5
214,Bogart Café,-8.0546198,-34.8881798,4.5,5
215,Espaço Muda,-8.0533199,-34.8791199,4.5,3
216,Itapissuma,-8.0542775,-34.8812561,5.0,2
217,São Braz,-8.0543404,-34.8833504,4.5,3
218,Kovacic,-8.0527096,-34.8887444,4.5,3
219,O Vegetariano,-8.05235,-34.8889198,4.5,3
220,Rua do lazer,-8.05469513775016,-34.8873583421417,4.5,4
221,Iraq,-8.0565796,-34.8854599,3.5,6
222,Tapioca da Maria,-8.0531301,-34.8873787,4.5,3
223,Restaurante Capitão Lima,-8.0541897,-34.8778,4.0,4
