Uid,Name,Empty Slots,Free Bikes,Renting Bikes,Returning Bikes,Latitude,Longitude,Rating,Review Count
0,As Galerias,0.0,0,0,0,-8.0612999,-34.87173,4.5,5
0,Bar Burburinho,0.0,0,0,0,-8.0640259,-34.8724022,4.5,6
0,Bar Central,0.0,0,0,0,-8.05779312123268,-34.880135199701,4.0,17
0,Bar Teatro Mamulengo,0.0,0,0,0,-8.0610504,-34.8716393,4.0,5
0,Bar do Agenor,0.0,0,0,0,-8.0482397,-34.9145012,3.5,3
0,Bar do Ao Seu Dispor,0.0,0,0,0,-8.04184,-34.90811,3.5,7
0,Bar do Neno e Lula,0.0,0,0,0,-8.0328199,-34.90963,4.5,5
0,Bar e Restaurante Marisqueira,0.0,0,0,0,-8.0073512,-34.840877,5.0,1
0,Benvinda,0.0,0,0,0,-8.10566,-34.889524,4.5,3
0,Bodega do Futuro,0.0,0,0,0,-8.0427656,-34.8987312,4.0,7
0,Bogart Café,0.0,0,0,0,-8.0546198,-34.8881798,4.5,5
0,Buca Trattoria,0.0,0,0,0,-8.0451803,-34.8933601,4.5,3
0,Cachaçaria Tradição,0.0,0,0,0,-8.0449434,-34.8997402,4.5,5
0,Cais do Sertão,0.0,0,0,0,-8.060006,-34.869925,4.5,5
0,Cakes Doceria,0.0,0,0,0,-8.1055498,-34.8895416,4.5,2
0,Camarada Camarão,0.0,0,0,0,-8.100946254656,-34.8864100361763,4.5,8
0,Canela Gastrobar,0.0,0,0,0,-8.0345201,-34.8987999,4.5,5
0,Capitania Forneria & Mar,0.0,0,0,0,-7.9952755,-34.838913,5.0,1
0,Caravela's,0.0,0,0,0,-8.0620203,-34.8714104,5.0,4
0,Carlitos Burguer,0.0,0,0,0,-8.04387,-34.9092,3.5,7
0,Chez Wiet Patisserie,0.0,0,0,0,-8.1007299,-34.8876114,4.5,2
0,China 48,0.0,0,0,0,-8.0403204,-34.8926697,4.5,5
0,Chiwake,0.0,0,0,0,-8.0479241,-34.8954469,5.0,5
0,Club Bardot,0.0,0,0,0,-8.1101398,-34.892849,5.0,2
0,Club Miró,0.0,0,0,0,-8.0539904,-34.8879318,4.5,5
0,Club du Vin,0.0,0,0,0,-8.1055403,-34.8886108,4.0,2
0,Com.Pão,0.0,0,0,0,-8.0415697,-34.8981781,5.0,4
0,Confraria,0.0,0,0,0,-8.034333,-34.890739,4.5,6
0,Confraria do Sanduba,0.0,0,0,0,-8.04762,-34.90904,3.5,5
0,DaHora Restaurante e Pizzaria,0.0,0,0,0,-8.0451899,-34.8937683,4.5,3
0,Delicia da Prazeres,0.0,0,0,0,-8.05186,-34.91823,4.5,3
0,Di Branco Recepções,0.0,0,0,0,-8.0474701,-34.9085503,4.5,3
0,Diplomata Delicatessen,0.0,0,0,0,-8.1086502,-34.8903008,4.0,4
0,Dobradinha do Gordo,0.0,0,0,0,-8.045796,-34.907201,4.5,5
0,Downtown Pub,0.0,0,0,0,-8.0639,-34.8724599,4.5,11
0,Empadas Santa Massa,0.0,0,0,0,-8.103817,-34.8866997,4.5,3
0,Empório Sertanejo,0.0,0,0,0,-8.0423002,-34.8914108,4.5,12
0,Espaço Muda,0.0,0,0,0,-8.0533199,-34.8791199,4.5,3
0,Famiglia Lucco,0.0,0,0,0,-8.0474396,-34.8949585,4.5,4
0,Famiglia Lucco Pizzas,0.0,0,0,0,-8.0320997,-34.913681,4.0,6
0,Feirinha do Bom Jesus,0.0,0,0,0,-8.0621405,-34.8713989,4.5,5
0,Frontal Ponto de Encontro,0.0,0,0,0,-8.0578604,-34.8801994,3.5,5
0,Galeria Café Castro Alves,0.0,0,0,0,-8.0533199,-34.8791199,4.5,5
0,Ganache Tortas Finas,0.0,0,0,0,-8.1124802,-34.8935699,5.0,3
0,Govinda,0.0,0,0,0,-8.0553703,-34.8859215,4.5,3
0,Guaiamum Gigante,0.0,0,0,0,-8.0362701,-34.9102783,3.5,7
0,Igarassu,0.0,0,0,0,-8.0542775,-34.8812561,4.5,2
0,Irajá,0.0,0,0,0,-8.04653,-34.91092,4.0,3
0,Iraq,0.0,0,0,0,-8.0565796,-34.8854599,3.5,6
0,Italian Freddo,0.0,0,0,0,-8.1008997,-34.8865814,4.5,2
0,Itapissuma,0.0,0,0,0,-8.0542775,-34.8812561,5.0,2
0,Itiban,0.0,0,0,0,-8.05032177998383,-34.9074477873834,4.0,11
0,Kovacic,0.0,0,0,0,-8.0527096,-34.8887444,4.5,3
0,Kwai Burger,0.0,0,0,0,-8.03809,-34.90225,4.5,4
0,La Pecora Nera,0.0,0,0,0,-8.0493145,-34.9118423,5.0,5
0,Le Olive Pizzeria,0.0,0,0,0,-8.0349102,-34.9014511,4.5,3
0,Mutti Capriccio,0.0,0,0,0,-8.03706,-34.91138,4.0,7
0,Na Venda - Chocolates e Cafés,0.0,0,0,0,-8.0451899,-34.8985901,5.0,3
0,Nikko Japanese Fusion,0.0,0,0,0,-8.105029,-34.888829,4.5,7
0,Nova Torre,0.0,0,0,0,-8.0422916,-34.9098015,5.0,2
0,O Rei da Picanha,0.0,0,0,0,-8.0244981,-34.9104218,3.5,5
0,O Rei das Coxinhas,0.0,0,0,0,-8.0443096,-34.894249,4.5,11
0,O Vegetariano,0.0,0,0,0,-8.05235,-34.8889198,4.5,3
0,Oma Pâtisserie e Bistrô,0.0,0,0,0,-8.0279455,-34.8995438,4.5,3
0,Pan Jovem Jaqueira,0.0,0,0,0,-8.0355101,-34.9022598,4.5,3
0,Panificadora Nova Armada,0.0,0,0,0,-8.04610186521047,-34.9070861935616,4.0,6
0,Panificadora e Confeitaria Espinheiro,0.0,0,0,0,-8.0422497,-34.8923988,4.5,3
0,Parque 13 de Maio,0.0,0,0,0,-8.0569096,-34.8833885,4.5,8
0,Parque da Jaqueira,0.0,0,0,0,-8.0373402,-34.9030304,5.0,4
0,Parque de Esculturas Francisco Brennand,0.0,0,0,0,-8.06360159193182,-34.868788326062,4.5,4
0,Parraxaxá,0.0,0,0,0,-8.038119,-34.911863,4.5,14
0,Pizzaria Candelabro,0.0,0,0,0,-8.0279684,-34.9118652,4.5,4
0,Pizzaria La Cuca,0.0,0,0,0,-8.0436697,-34.9093018,4.5,3
0,Ponte Nova,0.0,0,0,0,-8.0465311,-34.8981218,5.0,4
0,Ponto do Açaí,0.0,0,0,0,-8.0370197,-34.9015884,4.5,7
0,Portal da Picanha,0.0,0,0,0,-8.03527,-34.899235,4.0,9
0,Praça da República,0.0,0,0,0,-8.0613403,-34.8777199,5.0,5
0,Praça do Marco Zero,0.0,0,0,0,-8.06301333046358,-34.8712680653359,4.5,4
0,Pão de Açúcar,0.0,0,0,0,-8.0460616,-34.8972255,4.5,6
0,Recife Cocos,0.0,0,0,0,-8.0084925,-34.9365158,5.0,3
