,Name,Latitude,Longitude,Rating,Review Count
981,Santa Pizza,-8.0421658,-34.9084854,4.0,4
1221,Seu Boteco,-8.063757,-34.871309,4.5,7
1404,Sinagoga Kahal Zur Israel,-8.0619001,-34.8713608,4.5,7
679,Sob Medida,-7.99626491926441,-34.8418368672758,1.0,1
156,Speciale Pizzas Artesanais,-8.04589,-34.90691,3.5,6
680,Spettus Steak House,-8.103658,-34.889275,4.5,17
677,Sugoi,-7.9998088,-34.8392563,4.0,1
381,São Braz,-8.0543404,-34.8833504,4.5,3
738,São Braz Café,-8.0643997,-34.8738785,4.5,3
303,Sítio Trindade,-8.02981610254743,-34.9123603915405,4.5,3
714,Tapioca da Maria,-8.0531301,-34.8873787,4.5,3
779,Tay San Yuen,-8.04145816406097,-34.8938260227442,4.5,3
286,Terracio Restaurante,-8.0439501,-34.8928909,5.0,2
789,Texanno's,-8.035727,-34.908796,4.0,6
30,Tomaselli,-8.1029196,-34.8864594,4.5,3
1070,Torre Malakoff,-8.06015249140342,-34.8711306772461,5.0,6
314,Torre Massas,-8.0437202,-34.9105186,5.0,3
1184,Underground,-8.0970402,-34.8834915,4.0,6
637,Vaporetto Container Bar,-8.04002102272508,-34.9127634242177,4.5,9
717,Vasconcelos Bistrô e Café,-8.0478401,-34.8891907,4.5,3
930,Via Paladar,-8.04317,-34.893261,5.0,3
803,Vovó Nice,-8.04529,-34.9072304,5.0,4
1183,Wiella Bistrô,-8.1007299,-34.8876114,4.5,3
1317,Winner Sports Bar,-8.0473804,-34.8937912,4.5,5
1454,Yantai Express,-8.0325499,-34.9041481,3.0,6
660,ZEN,-8.04413390541109,-34.8928966601909,3.5,13
202,Ça Va Bistrô,-8.0955496,-34.8840408,4.5,4
