Latitude,Longitude,Category,Distance,Rating,Review Count
-8.03706,-34.91138,0.0,0.0,36.0,63
-8.0370197,-34.9015884,0.0,0.0,40.5,63
-8.0362701,-34.9102783,0.0,0.0,31.5,63
-8.035727,-34.908796,0.0,0.0,36.0,54
-8.0355101,-34.9022598,0.0,0.0,40.5,27
-8.03527,-34.899235,0.0,0.0,36.0,81
-8.0349102,-34.9014511,0.0,0.0,40.5,27
-8.03479180944101,-34.9119366114309,0.0,0.0,36.0,63
-8.0345201,-34.8987999,0.0,0.0,40.5,45
-8.034333,-34.890739,0.0,0.0,40.5,54
-8.0328199,-34.90963,0.0,0.0,40.5,45
-8.0325499,-34.9041481,0.0,0.0,27.0,54
-8.0320997,-34.913681,0.0,0.0,36.0,54
-8.02981610254743,-34.9123603915405,0.0,0.0,40.5,27
-8.0279684,-34.9118652,0.0,0.0,40.5,36
-8.0279455,-34.8995438,0.0,0.0,40.5,27
-8.0267601,-34.9048615,0.0,0.0,36.0,27
-8.0244981,-34.9104218,0.0,0.0,31.5,45
-8.0084925,-34.9365158,0.0,0.0,45.0,27
-8.0073512,-34.840877,0.0,0.0,45.0,9
-8.0061598,-34.9272308,0.0,0.0,45.0,36
-7.9998088,-34.8392563,0.0,0.0,36.0,9
-7.99626491926441,-34.8418368672758,0.0,0.0,9.0,9
-7.9952755,-34.838913,0.0,0.0,45.0,9
